date,host,service,pid,message,label
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: www.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: www.partner.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: www.admin.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: www.devices.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: app-ared-sme-dev-south-africa-002.azurewebsites.net!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: app-ared-partner-dev-south-africa-002.azurewebsites.net!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: app-ared-admin-dev-south-africa-002.azurewebsites.net!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: app-ared-devices-dev-south-africa-002.azurewebsites.net!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: api.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: app-ared-api-dev-south-africa-001.shirikihub.com!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: rdb.rw!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: rura.rw!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: irembo.gov.rw!,1
Jul 23 10:36:42,ared-machine,chilli_opt,2162,Resource temporarily unavailable: Invalid uamallowed domain or address: aredgroup.com!,1
Jul 23 10:36:44,ared-machine,chilli,2260,Bad argument `DROP',1
Jul 23 10:36:44,ared-machine,chilli,2262,Bad argument `ACCEPT',1
2024-07-09T23:24:26+0000,ared-machine,chilli,2110694,Usage: chilli_query [ -s <socket> ] [ -P <port> ] <command> [<arguments>],1
,ared-machine,chilli,2155,dropping malformed DNS,1
,ared-machine,chilli,2261,Bad argument `DROP',1
,ared-machine,chilli,2155,Network is unreachable: sendto() failed!,1
,ared-machine,chilli,2155,dropping malformed DNS,1
Jul 17 09:01:11,ared-machine,balena-engine-daemon,3202,"level=error msg=""failed to initialize a tracing processor \""otlp\"""" error=""no OpenTelemetry endpoint: skip plugin""",1
Jul 17 09:01:11,ared-machine,balena-engine-daemon,3194,"level=error msg=""Failed to built-in GetDriver graph btrfs /data-app/balena""",1
Jul 17 09:01:11,ared-machine,balena-engine-daemon,3194,"level=error msg=""Failed to built-in GetDriver graph zfs /data-app/balena""",1
Jul 17 09:02:24,ared-machine,balena-engine-daemon,3194,"level=error msg=""Handler for POST /v1.41/images/create returned error: Head \""https://us-central1-docker.pkg.dev/v2/m-shirki/motioneye/motioneye/manifests/master-amd64\"": denied: This API method requires billing to be enabled. Please enable billing on project #312360060269 by visiting https://console.developers.google.com/billing/enable?project=312360060269 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""",1
Jul 17 09:03:31,ared-machine,balena-engine-daemon,3194,"level=error msg=""Handler for POST /v1.41/images/create returned error: Head \""https://us-central1-docker.pkg.dev/v2/m-shirki/motioneye/motioneye/manifests/master-amd64\"": denied: This API method requires billing to be enabled. Please enable billing on project #312360060269 by visiting https://console.developers.google.com/billing/enable?project=312360060269 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""",1
